Отчёт по добавленным адресным объектам за 05.07.2024
--------------------------------------------------------------------------------

Элемент планировочной структуры
--------------------------------------------------------------------------------
Тип объекта	Наименование
пер.		Леонида Абдокова
ул.		Леонида Петрулевича
ул.		Лермонтова
ул.		Лесная
ул.		Лесная
ул.		Лесная
ул.		Лесная
ул.		Лесная
ул.		Лесная
ул.		Лесная
ул.		Лесная-2
пр-д		Лесохозяйственный
пр-д		Липецкий
ул.		Литвинова
ул.		Луганская
ул.		Луговая
ул.		Луговая
ул.		Луговая
ул.		Луговая
ул.		Луговая
пр-д		Лычагина
пр-д		М-5
ул.		Магистральная
ул.		Магуби Сыртлановой
ул.		Майская
ул.		Малиновая
ул.		Малиновая
ул.		Малиновая
ул.		Мандрыгина
пр-д		Маршала Кожедуба
ул.		Матросова
ул.		Мезенская
ул.		Мечтателей
ул.		Мира
ул.		Мира
ул.		Мирсаида Султан-Галиева
ул.		Мичурина
ул.		Мокиевская
ул.		Молодежная
ул.		Молодежная
ул.		Молодежная
ул.		Молодежная
ул.		Молодежная
ул.		Молодёжная
ул.		Моховая
ул.		Мужества
ул.		Мулланура Вахитова
ул.		Мусы Джалиля
ул.		Мухаммета Магдеева
ул.		Мухлисы Буби
ул.		Мятная
ул.		Нагорная
пер.		Некрасова
ул.		Нерчинская
пер.		Нефтебазовский
ул.		Нижегородова
ул.		Нижегородская/К. Либкнехта
ал.		Нижнее Хиилисуо
пер.		Никиты Максименко
ул.		Никольская
ул.		Новаторов
ул.		Новая
ул.		Новая Жизнь
пер.		Новостройный
ул.		Октябрьская
ул.		Олейникова
ул.		Ольховская
ул.		Омара Ибрагимова
ул.		Ореховая
ул.		Ореховая
ул.		Осенняя
ул.		Осокинская
ул.		Островского
ул.		Отрадная
ул.		Охотников
ул.		Павловская
ул.		Павловская
ул.		Параллельная
ул.		Парковая
ул.		Пацаева
ул.		Первая
ул.		Первая
ул.		Первомайская
пер.		Перевальный
ул.		Переславская
пер.		Перламутровый
ул.		Перспективная
ул.		Перспективная
ул.		Петра Гаврилова
ул.		Пионерская
ул.		Пионовая
пер.		Поволжский
ул.		Погорелова Балка
пер.		Подснежниковый
ул.		Пойменная
ул.		Покровские Дали
ул.		Полевая
ул.		Полевая
ул.		Полевая
ул.		Полевая
ул.		Полевая
пер.		Почтовый
ул.		Православная
ул.		Прикаспийская
ул.		Приозерная
ул.		Провальская
ул.		Проектная
ул.		Прокофьева
ул.		Пролетарская
ул.		Променадная
ул.		Пушкина
ул.		Пятая
ул.		Развития
ул.		Рашида Вагапова
ул.		Речная
ул.		Речная
ул.		Речная
ул.		Ризаитдина Фахретдинова
ул.		Рината Ибрагимова
ул.		Родниковая
ул.		Родниковая
ул.		Родниковая
ул.		Родниковая
ул.		Рождественская
ул.		Романовская
ул.		Ромашковая
ул.		Ромашковая
ул.		Ромашковая
ул.		Российская
ул.		Российская
ул.		Рыбинская
ул.		Рябиновая
ул.		Садовая
ул.		Садовая
ул.		Садовая
ул.		Садовая
ул.		Садовая
ул.		Садовая
ул.		Садовая
ул.		Садовая
ул.		Садовая
ул.		Садовая
ул.		Садовое кольцо
ул.		Садовое кольцо
пер.		Садовый
пер.		Садовый
ул.		Сапфировая
ул.		Саранская
ул.		Сарматская
ул.		Сафонова
ул.		Свердлова
ул.		Светлая
ул.		Светлая
ул.		Свияжская
ул.		Свободы
ал.		Северное Хиилисуо
ул.		Сибгата Хакима
ул.		Сиреневая
ул.		Скопинская
ул.		Сливовая
ул.		Слудная
ул.		Смежная
ул.		Советская
ул.		Советская
ул.		Соликамская
ул.		Солнечная
ул.		Солнечная
ул.		Солнечная
ул.		Солнечная
ул.		Солнечная
ул.		Солнечная
ул.		Солнечная
пер.		Солнечный
ул.		Сосновая
ул.		Сосновая
ул.		Сосновая
ул.		Сосновая
пер.		Сосновый
ул.		Спиринская
ул.		Спортивная
ул.		Сретенская
пер.		Станкостроительный
ул.		Станционная
пер.		Станционный
ул.		Старая колонна
ул.		Старая колонна 2-17
ул.		Стаханова
ул.		Стекольная
ул.		Степная
ул.		Степная
ул.		Степная
ул.		Степная
пер.		Степной
пер.		Степной
ул.		Строителей
ул.		Счастливая
ул.		Счастливая
ул.		Счастливая
пер.		Танкистов
ул.		Тверская
ул.		Тимерязева
ул.		Тимирязева
ул.		Тихая
ул.		Тихвинская
пер.		Тихий
пер.		Толстого
ул.		Топазная
ул.		Тополиная
ул.		Трактовая
ул.		Транспортная
ул.		Третья
ул.		Труда
ул.		Трудовая
пер.		Трунова
ул.		Тургенева
ул.		Туфана Миннулина
ул.		Угличская
ул.		Удачная
пер.		Ульяны Громовой
пер.		Ульяны Громовой
ул.		Уральская
ул.		Урожайная
ул.		Урожайная
ул.		Устьрецкая
ул.		Устюженская
ул.		Фаниса Яруллина
ул.		Фатиха Карими
ул.		Фирсова
ул.		Хади Такташа
ул.		Хамида Муштари
ул.		Хасана Туфана
ул.		Хвойная
ул.		Херсонская
пр-д		Храбрый
пер.		Царский
ул.		Цветочная
ул.		Цветочная
ул.		Цветочная
ул.		Цветочная
ул.		Цветочная
ул.		Цветочная
ул.		Цветочная
ул.		Центральная
ул.		Центральная
ул.		Центральная
ул.		Центральная
ул.		Центральная
ул.		Чайковского
ул.		Четвертая
ул.		Чистая
ул.		Шамиля Усманова
ул.		Шевченко
ул.		Школьная
пер.		Школьный
ул.		Элеваторная
ул.		Южная
ул.		Южная
пер.		Южный
пер.		Южный
пер.		Южный
ул.		Юрия Линкина
ул.		Юрьев-Польская
ул.		Яблоневая
ул.		Ягодная
ул.		Ягодная
ул.		Ягодная
ул.		Якуба Чанышева
--------------------------------------------------------------------------------
